ID,FECHA_RECAUDO,VALOR_RECAUDO
5976.0,2025-11-04,1302081.0
7355.0,2025-10-08,25.0
7620.0,2025-11-28,3361236.0
17988.0,2025-11-10,307000.0
18936.0,2025-12-01,91302.0
21446.0,2025-10-27,123905.0
24747.0,2025-11-20,2816105.0
27931.0,2025-11-10,58052.0
27931.0,2025-11-20,4461.0
28938.0,2025-10-28,453451.0
